Festival_name,Tithi,Nakshatra,month,day,weekday,adhik_maasa,calendar_type,icon_file,Festival_en,Festival_ta,Festival_te,Festival_ka,Festival_hi,Festival_ml
Govardhan Puja,1,,7,,,,0,festival.png,Govardhan Puja,கோவர்தன் பூஜை,గోవర్ధన్ పూజ,ಗೋವರ್ಧನ ಪೂಜೆ,गोवर्धन पूजा,ഗോവർദ്ധൻ പൂജ
Guru Purnima,15,,4,,,,2,guru_purnima.png,Guru/Vyasa/Ashada Purnima,குரு பூர்ணிமா,గురు పూర్ణిమ,ಗುರು ಪೂರ್ಣಿಮೆ,गुरु पूर्णिमा,ഗുരു പൂർണിമ
Guruvayur Ekadashi,11,,8,,,,2,ekadashi.png,Guruvayur Ekadashi,குருவாயூர் ஏகாதசி,గురువాయూర్ ఏకాదశి,ಗುರುವಾಯೂರು ಏಕಾದಶಿ,गुरुवायुर एकादशी,ഗുരുവായൂർ ഏകാദശി
Hajj Start,,,12,8,,,3,festival.png,Hajj Begins,ஹஜ் ஆரம்பம்,హజ్ ప్రారంభం,ಹಜ್ ಆರಂಭ,हज्ज शुरू,ഹജ്ജ് ആരംഭം
Hanuman Jayanti,15,,1,,,,2,hanuman.png,Hanuman Jayanti,அனுமன் ஜெயந்தி,హనుమాన్ జయంతి,ಹನುಮ ಜಯಂತಿ,हनुमान जयंती,ഹനുമാൻ ജയന്തി
Hartalika Teej,3,,6,,,,0,festival.png,Hartalika Teej,ஹர்தாலிகா டீஜ்,హర్తాళికా తీజ్,ಹರ್ತಾಲಿಕಾ ತೀಜ್,हरतालिका तीज,ഹർത്താലിക തീജ്
Heramba Sankashti,19,,6,,,,2,chathurthi.png,Heramba Sankashti/Sankatahara Chathurthi,ஹேரம்ப சங்கஷ்டி/சங்கடஹர சதுர்த்தி,హేరంబ సంక్షోభి/సంకటహర చతుర్థి,ಹೇರಂಬ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,हेरम्बा संकष्टी/संकटहर चतुर्थी,ഹേരംബ പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Hindi_Diwas,,,9,14,,,4,festival.png,Hindi Diwas,ஹிந்தி தினம்,హిందీ దినోత్సవం,ಹಿಂದಿ ದಿನ,हिंदी दिवस,ഹിന്ദി ദിനം
Holi,15,,12,,,,1,holi.png,Holi,ஹோலி,హోలీ,ಹೋಳಿ,होली,ഹോളി
Human_Rights_Day,,,12,10,,,4,festival.png,Human Rights Day,மனித உரிமைகள் தினம்,మానవ హక్కుల దినోత్సవం,ಮಾನವ ಹಕ್ಕುಗಳ ದಿನ,मानव अधिकार दिवस,മാനവാവകാശ ദിനം
Independence_Day,,,8,15,,,4,festival.png,Independence Day,சுதந்திர தினம்,స్వాతంత్ర్య దినోత్సవం,ಸ್ವಾತಂತ್ರ್ಯ ದಿನ,स्वतंत्रता दिवस,സ്വാതന്ത്ര്യദിനം
India_Tourism_Day,,,1,25,,,4,festival.png,India Tourism Day,இந்திய சுற்றுலா தினம்,భారత పర్యాటక దినోత్సవం,ಭಾರತ ಪ್ರವಾಸೋದ್ಯಮ ದಿನ,भारत पर्यटन दिवस,ഇന്ത്യ ടൂറിസം ദിനം
Indian_Air_Force_Day,,,10,8,,,4,festival.png,Indian Air Force Day,இந்திய விமானப்படை நாள்,భారత వైమానిక దళ దినోత్సవం,ಭಾರತೀಯ ವಾಯುಪಡೆ ದಿನ,भारतीय वायु सेना दिवस,ഇന്ത്യൻ വ്യോമസേന ദിനം
Indian_Army_Day,,,1,15,,,4,festival.png,Indian Army Day,இந்திய இராணுவ நாள்,భారత సైన్య దినోత్సవం,ಭಾರತೀಯ ಸೇನಾ ದಿನ,भारतीय सेना दिवस,ഇന്ത്യൻ സൈന്യ ദിനം
Indian_Navy_Day,,,12,4,,,4,festival.png,Indian Navy Day,இந்திய கடற்படை நாள்,భారత నౌకాదళ దినోత్సవం,ಭಾರತೀಯ ನೌಕಾಪಡೆ ದಿನ,भारतीय नौसेना दिवस,ഇന്ത്യൻ നാവികസേന ദിനം
Indira Ekadashi,26,,7,,,,2,ekadashi.png,Indira Ekadashi,இந்திரா ஏகாதசி,ఇందిరా ఏకాదశి,ಇಂದಿರಾ ಏಕಾದಶಿ,इंदिरा एकादशी,ഇന്ദിര ഏകാദശി
Indra Savarni Manvadi Srartha tithi,23,,5,,,,0,srartha.png,Indra Savarni Manvadi Sratha tithi Sratha tithi,இந்திர சாவர்ணி மன்வாதி ஸ்ரார்த்த திதி,ఇంద్ర సావర్ణి మన్వాది స్రార్థ తిథి,ಇಂದ್ರ ಸಾವರ್ಣಿ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,इन्द्र सावर्णि मन्वादि स्रार्था तिथि,ഇന്ദ്ര സാവർണി മാൻവാദി ശ്രാർത്ഥ തിഥി
International_Day_Against_Drugs,,,6,26,,,4,festival.png,International Day Against Drug Abuse & Illicit Trafficking,மயக்கமருந்து ஒழிப்பு சர்வதேச தினம்,మాదకద్రవ్య వ్యతిరేక అంతర్జాతీయ దినోత్సవం,ಮಾದಕ ವಸ್ತು ವಿರೋಧಿ ಅಂತರರಾಷ್ಟ್ರೀಯ ದಿನ,नशीली दवाओं के विरुद्ध अंतरराष्ट्रीय दिवस,മയക്കുമരുന്ന് വിരുദ്ധ അന്താരാഷ്ട്ര ദിനം
International_Day_Disabled_Persons,,,12,3,,,4,festival.png,International Day of Persons with Disabilities,சர்வதேச மாற்றுத்திறனாளிகள் தினம்,అంతర్జాతీయ దివ్యాంగుల దినోత్సవం,ಅಂತರರಾಷ್ಟ್ರೀಯ ಅಂಗವಿಕಲರ ದಿನ,अंतरराष्ट्रीय दिव्यांग दिवस,അന്താരാഷ്ട്ര ഭിന്നശേഷി ദിനം
International_Day_Older_Persons,,,10,1,,,4,festival.png,International Day of Older Persons,முதியோர் சர்வதேச தினம்,అంతర్జాతీయ వృద్ధుల దినోత్సవం,ಅಂತರರಾಷ್ಟ್ರೀಯ ಹಿರಿಯರ ದಿನ,अंतरराष्ट्रीय वृद्धजन दिवस,അന്താരാഷ്ട്ര വയോധിക ദിനം
International_Literacy_Day,,,9,8,,,4,festival.png,International Literacy Day,சர்வதேச எழுத்தறிவு தினம்,అంతర్జాతీయ అక్షరాస్యత దినోత్సవం,ಅಂತರರಾಷ್ಟ್ರೀಯ ಸಾಕ್ಷರತಾ ದಿನ,अंतरराष्ट्रीय साक्षरता दिवस,അന്താരാഷ്ട്ര സാക്ഷരത ദിനം
International_Womens_Day,,,3,8,,,4,festival.png,International Women's Day,சர்வதேச மகளிர் தினம்,అంతర్జాతీయ మహిళా దినోత్సవం,ಅಂತರರಾಷ್ಟ್ರೀಯ ಮಹಿಳಾ ದಿನ,अंतरराष्ट्रीय महिला दिवस,അന്താരാഷ്ട്ര വനിതാദിനം
Islamic New Year,,,1,1,,,3,muharram.png,Islamic New Year,இஸ்லாமிய புத்தாண்டு,ఇస్లామిక్ నూతన సంవత్సరం,ಇಸ್ಲಾಮಿಕ್ ಹೊಸ ವರ್ಷ,इस्लामिक नया साल,ഇസ്ലാമിക് പുതുവർഷം
Jallianwala_Bagh_Martyrs_Day,,,4,13,,,4,festival.png,Jallianwala Bagh Martyrs' Day,ஜாலியன்வாலா பாக் தியாகிகள் நாள்,జలియన్‌వాలా బాగ్ అమరవీరుల దినం,ಜಲಿಯನ್‌ವಾಲಾ ಬಾಗ್ ಹುತಾತ್ಮರ ದಿನ,जलियांवाला बाग शहीद दिवस,ജാലിയൻവാലാ ബാഗ് രക്തസാക്ഷി ദിനം
Jamai Sashti,6,,3,,,,2,festival.png,Jamai Sashti,ஜாமாய் சஷ்டி,జమాయి షష్ఠి,ಜಮೈ ಸಷ್ಟಿ,जमाई षष्ठी,ജമൈ ഷഷ്ഠി
Jaya Ekadashi,11,,11,,,,2,ekadashi.png,Jaya Ekadashi,ஜெய ஏகாதசி,జయ ఏకాదశి,ಜಯ ಏಕಾದಶಿ,जया एकादशी,ജയ ഏകാദശി
Jyeshtha Amavasya,30,,3,,,,0,festival.png,Jyeshtha Amavasya,ஜ்யேஷ்ட அமாவாசை,జ్యేష్ఠ అమావాస్య,ಜ್ಯೇಷ್ಠ ಅಮಾವಾಸ್ಯೆ,ज्येष्ठ अमावस्या,ജ്യേഷ്ഠ അമാവാസി
Jyesta Purnima,15,,3,,,,2,festival.png,Jyesta Purnima,ஜ்யேஷ்ட பூர்ணிமா,జ్యేష్ట పూర్ణిమ,ಜ್ಯೆಸ್ತಾ ಪೂರ್ಣಿಮಾ,ज्येष्ठ पूर्णिमा,ജ്യേഷ്ട പൂർണിമ
Kaalashtami,23,,,,,,0,kaalashtami.png,Kaalashtami,காலாஷ்டமி,కాలాష్టమి,ಕಾಲಾಷ್ಟಮಿ,कालाष्टमी,കാലാഷ്ടമി
Kaanum Pongal,,,10,3,,,0,festival.png,Kaanum Pongal,காணும் பொங்கல்,కానుం పొంగల్,ಕಾನುಮ್ ಪೊಂಗಲ್,काणुम पोंगल,കാണും പൊങ്കൽ
Kali Puja,30,,7,,,,0,festival.png,Kali Puja,காளி பூஜை,కాళీ పూజ,ಕಾಳಿ ಪೂಜೆ,काली पूजा,കാളി പൂജ
Kali Yuga Srartha tithi,28,,6,,,,0,srartha.png,Kali Yuga Sratha tithi Sratha tithi,கலியுக ஸ்ரார்த்த திதி,కలియుగ స్రార్థ తిథి,ಕಲಿಯುಗ ಶ್ರಾರ್ಥ ತಿಥಿ,कलियुग स्रार्थ तिथि,കലിയുഗ ശ്രാർത്ഥ തിഥി
Kamada Ekadashi,11,,1,,,,2,ekadashi.png,Kamada Ekadashi,காமத ஏகாதசி,కామధ ఏకాదశి,ಕಾಮಧ ಏಕಾದಶಿ,कामदा एकादशी,കാമധ ഏകാദശി
Kamika Ekadashi,26,,5,,,,2,ekadashi.png,Kamika Ekadashi,காமிகா ஏகாதசி,కామిక ఏకాదశి,ಕಾಮಿಕಾ ಏಕಾದಶಿ,कामिका एकादशी,കാമിക ഏകാദശി
Kanni  Sankranthi,,,6,1,,,0,kanni.jpg,Kanni  Sankranthi,கன்னி சங்கராந்தி,కన్ని సంక్రాంతి,ಕನ್ನಿ ಸಂಕ್ರಾಂತಿ,कन्नी संक्रांति,കന്നി സംക്രാന്തി
Karadaiyan Nonbu,,,12,1,,,0,kaaradaiyaan_noenbu,Karadaiyan Nonbu,காரடையான் நோம்பு,కారడైయన్ నోంబు,ಕಾರದೈಯನ್ ನೊಯೆನ್ಬು,कारादैयान नोएनबू,കാരദൈയൻ നോൻബു
Kargil_Vijay_Diwas,,,7,26,,,4,festival.png,Kargil Vijay Diwas,கார்கில் வெற்றி தினம்,కార్గిల్ విజయ్ దివస్,ಕಾರ್ಗಿಲ್ ವಿಜಯ್ ದಿವಸ್,कारगिल विजय दिवस,കാർഗിൽ വിജയ് ദിനം
Karthigai Deepam,15,,8,,,,0,karthigai_dheepam.png,Karthigai Deepam,கார்த்திகை தீபம்,కార్తిగై దీపం,ಕಾರ್ತಿಗೈ ದೀಪಂ,कार्तिगाई दीपम,കാർത്തിഗൈ ദീപം
Kataka  Sankranthi,,,4,1,,,0,katakam.jpg,Kataka  Sankranthi,கடக சங்கராந்தி,కటక సంక్రాంతి,ಕಟಕ ಸಂಕ್ರಾಂತಿ,कटक संक्रांति,കടക സംക്രാന്തി
Kedhaara gowri vratham end,29,,7,,,,0,kedhaara_gowri_vratham.png,Kedhaara gowri vratham end,கேதார கௌரி விரதம் முடிவு,కేధార గౌరీ వ్రతం ముగింపు,ಕೇದಾರ ಗೌರಿ ವ್ರತ ಅಂತ್ಯ,केधारा गौरी व्रतम अंत,കേധാര ഗൗരി വ്രതം അവസാനം
Kedhaara gowri vratham start,29,,7,,,,0,kedhaara_gowri_vratham.png,Kedhaara gowri vratham start,கேதார கௌரி விரதம் தொடக்கம்,కేధార గౌరీ వ్రతం ప్రారంభం,ಕೇದಾರ ಗೌರಿ ವ್ರತ ಆರಂಭ,केधारा गौरी व्रतम शुरू,കേധാര ഗൗരി വ്രതം തുടക്കം
Kojagari Lakshmi Puja,15,,6,,,,0,festival.png,Kojagari Lakshmi Puja,கோஜாகரி லட்சுமி பூஜை,కోజాగారి లక్ష్మీ పూజ,ಕೋಜಗರಿ ಲಕ್ಷ್ಮಿ ಪೂಜೆ,कोजागरी लक्ष्मी पूजा,കോജാഗരി ലക്ഷ്മി പൂജ
Krishnapingala Sankashti,19,,4,,,,2,chathurthi.png,Krishnapingala Sankashti/Sankatahara Chathurthi,கிருஷ்ணபிங்கலா சங்கஷ்டி/சங்கடஹர சதுர்த்தி,కృష్ణపింగల కష్టం/సంకటహర చతుర్థి,ಕೃಷ್ಣಪಿಂಗಲ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,कृष्णपिंगला संकष्टी/संकटहर चतुर्थी,കൃഷ്ണപിംഗല പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Kumba  Sankranthi,,,11,1,,,0,kumbam.jpg,Kumba  Sankranthi,கும்ப சங்கராந்தி,కుంభ సంక్రాంతి,ಕುಂಭ ಸಂಕ್ರಾಂತಿ,कुंभ संक्रांति,കുംഭ സംക്രാന്തി
Kurma Jayanthi,15,,2,,,,2,festival.png,Kurma Jayanthi,கூர்ம ஜெயந்தி,కూర్మ జయంతి,ಕೂರ್ಮ ಜಯಂತಿ,कूर्म जयंती,കൂർമ്മ ജയന്തി
Labour_Day,,,5,1,,,4,festival.png,Labour Day,தொழிலாளர் தினம்,కార్మిక దినోత్సవం,ಕಾರ್ಮಿಕ ದಿನ,मजदूर दिवस,തൊഴിലാളി ദിനം
Lakshmi Puja,14,,7,,,,0,festival.png,Lakshmi Puja,லட்சுமி பூஜை,లక్ష్మీ పూజ,ಲಕ್ಷ್ಮೀ ಪೂಜೆ,लक्ष्मी पूजा,ലക്ഷ്മി പൂജ
Lambodara Sankashti,19,,11,,,,2,chathurthi.png,Lambodara Sankashti/Sankatahara Chathurthi,லம்போதர சங்கஷ்டி/சங்கடஹர சதுர்த்தி,లంబోదర సంక్షోభం/సంకటహర చతుర్థి,ಲಂಬೋದರ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,लम्बोदर संकष्टी/संकटहर चतुर्थी,ലംബോദര പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Laylat al-Miraj,,,7,27,,,3,festival.png,Laylat al-Miraj,மிஃராஜ் இரவு,లైలత్ ಅల్-ಮಿರಾಜ್,ಲೈಲತ್ ಅಲ್-ಮಿರಾಜ್,लैलात अल-मिराज,ലൈലത്തുൽ മിഅ്റാജ്
Laylat al-Qadr,,,9,21,,,3,festival.png,Laylat al-Qadr,லைலத்துல் கத்ர்,లైలత్ ಅಲ್-ఖద్ర్,ಲೈಲತ್ ಅಲ್-ಖದ್ರ್,लैलत अल-कद्र,ലൈലത്തുൽ ഖദ്ർ
Laylat al-Qadr,,,9,23,,,3,festival.png,Laylat al-Qadr,லைலத்துல் கத்ர்,లైలత్ ಅಲ್-ఖద్ర్,ಲೈಲತ್ ಅಲ್-ಖದ್ರ್,लैलत अल-कद्र,ലൈലത്തുൽ ഖദ്ർ
Laylat al-Qadr,,,9,25,,,3,festival.png,Laylat al-Qadr,லைலத்துல் கத்ர்,లైலత్ அಲ್-ఖద్ర్,ಲೈಲತ್ ಅಲ್-ಖದ್ರ್,लैलत अल-कद्र,ലൈലത്തുൽ ഖദ്ർ
Laylat al-Qadr,,,9,27,,,3,festival.png,Laylat al-Qadr,லைலத்துல் கத்ர்,లైலత్ ಅಲ್-ఖద్ர்,ಲೈಲತ್ ಅಲ್-ಖದ್ರ್,लैलत अल-कद्र,ലൈലത്തുൽ ഖദ്ർ
Laylat al-Qadr,,,9,29,,,3,festival.png,Laylat al-Qadr,லைலத்துல் கத்ர்,లైலత్ ಅಲ್-ఖద్ர்,ಲೈಲತ್ ಅಲ್-ಖದ್ರ್,लैलत अल-कद्र,ലൈലത്തുൽ ഖദ്ർ
Maasi Magam,,10,11,,,,0,festival.png,Maasi Magam,மாசி மகம்,మాసి మాగం,ಮಾಸಿ ಮಗಂ,मासी मगम,മാസി മാഗം
Maattu Pongal,,,10,2,,,0,festival.png,Maattu Pongal,மாட்டுப் பொங்கல்,మాట్టు పొంగల్,ಮಾತು ಪೊಂಗಲ್,माट्टू पोंगल,മാട്ടു പൊങ്കൽ
Magha Purnima,15,,11,,,,2,festival.png,Magha Purnima,மாக பூர்ணிமா,మాఘ పూర్ణిమ,ಮಾಘ ಪೂರ್ಣಿಮಾ,माघ पूर्णिमा,മാഘ പൂർണിമ
Maha Shivaratri,29,,11,,,,0,maha_sivarathri_1.png,Maha Shivaratri,மகா சிவராத்திரி,మహా శివరాత్రి,ಮಹಾ ಶಿವರಾತ್ರಿ,महा शिवरात्रि,മഹാ ശിവരാത്രി
Mahalaya Amavasya,30,,7,,,,1,srartha.png,Mahalaya Amavasya/Pitru Paksha Ends,மஹாளய அமாவாசை/பித்ரு பக்ஷ முடிவடைகிறது,మహాలయ అమావాస్య/పితృ పక్షం సమాప్తం,ಮಹಾಲಯ ಅಮಾವಾಸ್ಯೆ/ಪಿತೃ ಪಕ್ಷ ಕೊನೆಗೊಳ್ಳುತ್ತದೆ,महालय अमावस्या/पितृ पक्ष समाप्त,മഹാലയ അമാവാസി/പിതൃ പക്ഷ സമാപനം
Mahalaya Ashtami,23,,7,,,,1,srartha.png,Mahalaya Ashtami,மஹாளய அஷ்டமி,మహాలయ అష్టమి,ಮಹಾಲಯ ಅಷ್ಟಮಿ,महालया अष्टमी,മഹാലയ അഷ്ടമി
Mahalaya Chathurthi,19,,7,,,,1,srartha.png,Mahalaya Chathurthi,மஹாளய சதுர்த்தி,మహాలయ చతుర్థి,ಮಹಾಲಯ ಚತುರ್ಥಿ,महालय चतुर्थी,മഹാലയ ചതുർത്ഥി
Mahalaya Dhasami,25,,7,,,,1,srartha.png,Mahalaya Dhasami,மஹாளய தசமி,మహాలయ దశమి,ಮಹಾಲಯ ದಶಮಿ,महालय दशमी,മഹാലയ ദശമി
Mahalaya Dhuvadhasi,27,,7,,,,1,srartha.png,Mahalaya Dhuvadhasi,மஹாளய துவாதசி,మహాలయ దువధశి,ಮಹಾಲಯ ಧುವಧಸಿ,महालय धुवधसी,മഹാലയ ധുവധശി
Mahalaya dwithiyai,17,,7,,,,1,srartha.png,Mahalaya dwithiyai,மஹாளய த்விதியை,మహాలయ ద్వితీయై,ಮಹಾಲಯ ದ್ವಿತೀಯೈ,महालया द्वितीयै,മഹാലയ ദ്വിതീയൈ
Mahalaya Egadhasi,26,,7,,,,1,srartha.png,Mahalaya Egadhasi,மஹாளய ஏகாதசி,మహాలయ ఏగాధశి,ಮಹಾಲಯ ಏಕಾದಶಿ,महालया ईगाधासी,മഹാലയ ഏഗാദശി
Mahalaya Navami,24,,7,,,,1,srartha.png,Mahalaya Navami,மஹாளய நவமி,మహాలయ నవమి,ಮಹಾಲಯ ನವಮಿ,महालया नवमी,മഹാലയ നവമി
Mahalaya Panchami,20,,7,,,,1,srartha.png,Mahalaya Panchami,மஹாளய பஞ்சமி,మహాలయ పంచమి,ಮಹಾಲಯ ಪಂಚಮಿ,महालया पंचमी,മഹാലയ പഞ്ചമി
Mahalaya Prathamai / Pitru Paksha Start,16,,7,,,,1,srartha.png,Mahalaya Prathamai / Pitru Paksha Start,மஹாளய பிரதமை / பித்ரு பக்ஷ ஆரம்பம்,మహాలయ ప్రథమై / పితృ పక్ష ప్రారంభం,ಮಹಾಲಯ ಪ್ರಥಮೈ / ಪಿತೃ ಪಕ್ಷ ಪ್ರಾರಂಭ,महालया प्रथमाई/पितृ पक्ष प्रारम्भ,മഹാലയ പ്രഥമൈ / പിതൃ പക്ഷ ആരംഭം
Mahalaya Sapthami,22,,7,,,,1,srartha.png,Mahalaya Sapthami,மஹாளய சப்தமி,మహాలయ సప్తమి,ಮಹಾಲಯ ಸಪ್ತಮಿ,महालया सप्तमी,മഹാലയ സപ്തമി
Mahalaya Sashti,21,,7,,,,1,srartha.png,Mahalaya Sashti,மஹாளய சஷ்டி,మహాలయ షష్ఠి,ಮಹಾಲಯ ಷಷ್ಠಿ,महालय षष्ठी,മഹാലയ ഷഷ്ഠി
Mahalaya Sathuradasi,29,,7,,,,1,srartha.png,Mahalaya Sathuradasi,மஹாளய சதுர்தசி,మహాలయ శతురదశి,ಮಹಾಲಯ ಸತುರದಶಿ,महालया सथुरदासी,മഹാലയ സതുരാദശി
Mahalaya Thirayodasi,28,,7,,,,1,srartha.png,Mahalaya Thirayodasi,மஹாளய திரயோதசி,మహాలయ తిరయోదశి,ಮಹಾಲಯ ತಿರಯೋದಸಿ,महालया थिरयोडसी,മഹാലയ തിരയോദശി
Mahalaya Thiruthiyai,18,,7,,,,1,srartha.png,Mahalaya Thiruthiyai,மஹாளய திருதியை,మహాలయ తిరుతీయై,ಮಹಾಲಯ ತಿರುತಿಯೈ,महालया थिरुथियाई,മഹാലയ തിരുത്തായി
Mahesh Navami,9,,3,,,,1,festival.png,Mahesh Navami,மகேஷ் நவமி,మహేష్ నవమి,ಮಹೇಶ ನವಮಿ,महेश नवमी,മഹേഷ് നവമി
Makara  Sankranthi,,,10,1,,,0,makaram.jpg,Makara  Sankranthi,மகர சங்கராந்தி,మకర సంక్రాంతి,ಮಕರ ಸಂಕ್ರಾಂತಿ,मकर संक्रांति,മകര സംക്രാന്തി
Makara  ViLakku,,,10,1,,,0,festival.png,Makara  ViLakku,மகர விளக்கு,మకర విలక్కు,ಮಕರ ವಿಳಕ್ಕು,मकर विलक्कु,മകര വിളക്ക്
Margashirsha Purnima,15,,9,,,,2,festival.png,Margashirsha Purnima,மார்கசிர்ஷா பூர்ணிமா,మార్గశీర్ష పూర్ణిమ,ಮಾರ್ಗಶೀರ್ಷ ಪೂರ್ಣಿಮಾ,मार्गशीर्ष पूर्णिमा,മാർഗശീർഷ പൂർണിമ
Margazhi Bhajans,,,9,,,,0,festival.png,Margazhi Bhajans/Thiruvempavai,மார்கழி பஜனைகள்/திருவெம்பாவை,మార్గజీ భజనలు/తిరువెంపావై,ಮಾರ್ಗಜಿ ಭಜನೆಗಳು/ತಿರುವೆಂಪವೈ,मार्गाज़ी भजन/थिरु वेम्पावै,മാർഗഴി ഭജന/തിരുവെമ്പാവായ്
Martyrs_Day_India,,,1,30,,,4,festival.png,Martyrs' Day (Shaheed Diwas),தியாகிகள் நாள் (ஷஹீத் தினம்),శహీదుల దినోత్సవం,ಶಹೀದರ ದಿನ,शहीद दिवस,ശഹീദ് ദിനം
Meena  Sankranthi,,,12,1,,,0,meenam.jpg,Meena  Sankranthi,மீன சங்கராந்தி,మీన సంక్రాంతి,ಮೀನ ಸಂಕ್ರಾಂತಿ,मीना संक्रांति,മീന സംക്രാന്തി
Mesha  Sankranthi,,,1,1,,,0,mesham.png,Mesha  Sankranthi,மேஷ சங்கராந்தி,మేష సంక్రాంతి,ಮೇಷ ಸಂಕ್ರಾಂತಿ,मेष संक्रांति,മേശ സംക്രാന്തി
Milad-un-Nabi,,,3,12,,,3,festival.png,Milad-un-Nabi,மீலாதுன் நபி,మిలాద్-ఉన్-నబి,ಮಿಲಾದ್-ಉನ್-ನಬಿ,मिलाद-उन-नबी,മീലാദ്-ഉൻ-നബി
Mithuna Sankranthi,,,3,1,,,0,mithunam.jpg,Mithuna Sankranthi,மிதுன சங்கராந்தி,మిథున సంక్రాంతి,ಮಿಥುನ ಸಂಕ್ರಾಂತಿ,मिथुन संक्रांति,മിഥുന സംക്രാന്തി
Mohini Ekadashi,11,,2,,,,2,ekadashi.png,Mohini Ekadashi,மோகினி ஏகாதசி,మోహిని ఏకాదశి,ಮೋಹಿನಿ ಏಕಾದಶಿ,मोहिनी एकादशी,മോഹിനി ഏകാദശി
Mokshadha Ekadashi,11,,9,,,,2,ekadashi.png,Mokshadha Ekadashi,மோக்ஷத ஏகாதசி,మోక్షధ ఏకాదశి,ಮೋಕ್ಷದ ಏಕಾದಶಿ,मोक्षदा एकादशी,മോക്ഷദ ഏകാദശി
Nag Panchami,5,,5,,,,0,festival.png,Nag Panchami,நாக் பஞ்சமி,నాగ్ పంచమి,ನಾಗ್ ಪಂಚಮಿ,नाग पंचमी,നാഗ് പഞ്ചമി
Naradha Jayanthi,16,,2,,,,2,festival.png,Naradha Jayanthi,நாரத ஜெயந்தி,నారద జయంతి,ನಾರದ ಜಯಂತಿ,नारद जयंती,നാരദ ജയന്തി
Narasimha Jayanti,14,,2,,,,2,festival.png,Narasimha Jayanti,நரசிம்ம ஜெயந்தி,నరసింహ జయంతి,ನರಸಿಂಹ ಜಯಂತಿ,नरसिम्हा जयंती,നരസിംഹ ജയന്തി
National_Education_Day_India,,,11,11,,,4,festival.png,National Education Day (India),தேசிய கல்வி தினம்,జాతీయ విద్యా దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ಶಿಕ್ಷಣ ದಿನ,राष्ट्रीय शिक्षा दिवस,ദേശീയ വിദ്യാഭ്യാസ ദിനം
National_Energy_Conservation_Day_India,,,12,14,,,4,festival.png,National Energy Conservation Day (India),தேசிய ஆற்றல் சேமிப்பு தினம்,జాతీయ శక్తి పరిరక్షణ దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ಇಂಧನ ಸಂರಕ್ಷಣಾ ದಿನ,राष्ट्रीय ऊर्जा संरक्षण दिवस,ദേശീയ ഊർജ സംരക്ഷണ ദിനം
National_Integration_Day_India,,,11,19,,,4,festival.png,National Integration Day (India),தேசிய ஒருமைப்பாடு நாள்,జాతీయ సమైక్యతా దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ಏಕೀಕರಣ ದಿನ,राष्ट्रीय एकता दिवस,ദേശീയ ഏകീകരണ ദിനം
National_Panchayati_Raj_Day,,,4,24,,,4,festival.png,National Panchayati Raj Day,தேசிய பஞ்சாயத்து ராஜ் தினம்,జాతీయ పంచాయతీ రాజ్ దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ಪಂಚಾಯತಿ ರಾಜ್ ದಿನ,राष्ट्रीय पंचायती राज दिवस,ദേശീയ പഞ്ചായത്ത് രാജ് ദിനം
National_Pollution_Control_Day_India,,,12,2,,,4,festival.png,National Pollution Control Day (India),தேசிய மாசுபாடு கட்டுப்பாட்டு தினம்,జాతీయ కాలుష్య నియంత్రణ దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ಮಾಲಿನ್ಯ ನಿಯಂತ್ರಣ ದಿನ,राष्ट्रीय प्रदूषण नियंत्रण दिवस,ദേശീയ മലിനീകരണ നിയന്ത്രണ ദിനം
National_Safety_Day_India,,,3,4,,,4,festival.png,National Safety Day,தேசிய பாதுகாப்பு தினம்,జాతీయ భద్రతా దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ಸುರಕ್ಷತಾ ದಿನ,राष्ट्रीय सुरक्षा दिवस,ദേശീയ സുരക്ഷാ ദിനം
National_Science_Day,,,2,28,,,4,festival.png,National Science Day,தேசிய அறிவியல் தினம்,జాతీయ విజ్ఞాన దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ವಿಜ್ಞಾನ ದಿನ,राष्ट्रीय विज्ञान दिवस,ദേശീയ ശാസ്ത്ര ദിനം
National_Technology_Day_India,,,5,11,,,4,festival.png,National Technology Day (India),தேசிய தொழில்நுட்ப தினம்,జాతీయ సాంకేతిక దినోత్సవం,ರಾಷ್ಟ್ರೀಯ ತಂತ್ರಜ್ಞಾನ ದಿನ,राष्ट्रीय प्रौद्योगिकी दिवस,ദേശീയ സാങ്കേതിക ദിനം
